㐀	丘
炅	耿
炉	爐
炔	耿
炖	燉
炗	光
炙	炙
炜	煒
炝	熗
炤	照
炫	衒
炮	炰 砲 礮
炯	烱
炰	炮
炸	煠
点	點
為	为 爲
炼	煉 鍊
炽	熾
烁	爍
烂	爛
烃	烴
烄	𤎦
烈	煭
烉	煥
烊	煬
烋	𠹎
烏	乌 於 𤚶 𥾪
烕	滅
烖	災 灾 菑
烘	灴
烙	烙
烛	燭
烜	晅
烝	蒸
烟	完 煙 菸
烦	煩
烧	燒
烨	燁
烩	燴
烫	燙
烬	燼
热	熱
烱	炯
烴	烃
烵	灼
烹	亨 亯 𠅖 𩱋
烾	赤
焃	赫
焈	煕
焊	釬
焔	焰
焕	煥
焖	燜
焘	燾
焚	燔
焛	𬮟
無	无 橆 𠘩 𣚨 𣟒
焦	焳
焧	熜 𮳳
焭	煢
焰	㷔 焔 燄
然	燃 𤓉
焼	燒
煅	鍛
煆	鍜
煇	輝 𪸩
煈	𮳠
煉	炼 煉
煑	煮
煒	炜
煕	焈 熈 熙
煖	娠 暖 諼
煙	完 烟 菸 𠖜 𡍯 𡨾
煚	煛
煛	煚
煞	殺
煠	炸 𤉬
煢	㒌 茕
煥	烉 焕
照	炤
煩	烦
煬	炀 烊
煭	烈
煮	䰞 煑
煱	㶽
煳	㷻
煴	熅
煼	𬊂
煽	搧
熂	𪸕
熅	煴
熇	燺
熈	煕 熙
熉	𤈶
熊	𪏛
熌	𤇄
熏	燻 𤑕
熒	荧
熓	𤆡
熔	鎔
熕	𬊎
熗	炝
熙	煕 熈
熚	𤇹
熜	焧 𮳳
熞	𰞤
熟	𡒒
熠	𮳜
熡	𤋏
熨	㷉 尉
熰	𬉼
熱	热 𤍠
熲	耿 颎
熹	熺
熺	熹
熾	炽 𤎷 𧹹
燀	𬊤
燁	烨
燃	然
燄	焰
燆	𮳧
燈	灯
燉	炖
燌	𰞻
燎	燎
燐	㷠 粦 燐
燒	烧 簫
燔	焚
燕	鷰
燖	𬊈
燗	爛
燘	𬊖
燙	烫
燜	焖
營	营
燠	灹 𤈰
燡	𰞇
燣	燷
燥	𤍜
燦	灿
燧	𤑾 𤓫
燬	毁
燭	烛
燮	爕
燰	𬊺
燴	烩
燵	𬊉
燶	㶶
燷	燣
燺	熇
燻	熏
燼	烬
燽	𤐭 𬊍
燾	焘
燿	曜 耀
爁	𬊶
爃	𫞡
爄	𤇃
爇	𤑔 𦶟
爋	𤑕
爍	烁
爐	炉 爐
爓	𰟘
爕	燮
爖	𤇭
爗	𮳴
爛	烂
爣	𬊵
爥	𪹳
爧	𫞠
爨	𤑖
爩	𤓭
爪	㕚 爫
爫	㕚 爪
爭	争 𠄙 𠫩
爯	𤔹
爱	愛
爲	为 為
爵	𠙘 𣡫 𥥼 𩰧
爷	爺
爺	爷 𤕓
爼	俎
爽	𠙠
爾	尒 尔
爿	𤕪
牀	床
牁	牱
牄	蹌
牆	墙 墻 廧 𤖧
版	板
牋	椾 箋 𰠛
牍	牘
牎	𤗉
牕	窓 窗 窻
牘	牍
牙	𤘈
牛	牜
牜	牛
牝	𠤎
牟	麰 𢃷
牠	他 它
牢	牢 𡘠
牦	氂 犛
牱	牁
牴	抵 觝
牵	牽
牺	犧
牼	𰠲
牽	摼 牵 𢴡
犁	犂
犂	犁
犄	踦
犅	𰠫
犇	奔
犊	犢
犓	𬌝
犕	𤙳
犖	荦 𡁆
犙	𤛤
犛	牦 髦
犞	𪺭
犠	犧
犢	犊
犤	𰠹
犧	牺
犬	犭
犭	犬
犯	𢒿 𤝑
犲	豺
犴	豻
状	狀
犷	獷
犸	獁
犹	猶
狀	状
狂	𢚇
狈	狽
狝	獮
狞	獰
狠	很
狡	𤟋
狢	貉
狥	侚 徇 殉
独	獨
狭	狹
狮	獅
狯	獪
狰	猙
狱	獄
狲	猻
狵	尨
狷	猨 獧
狸	貍
狹	狭 陜
狻	䝜
狼	狼
狽	狈
猃	獫
猇	唬 虓
猋	颮 飇
猌	𪺽
猍	𰡎
猎	獵
猏	豣
猕	獼
猗	欹
猘	𤝼
猙	狰
猛	𠩜
猟	獵
猡	玀
猧	𰡏
猨	狷 猿 蝯
猪	豬 猪
猫	貓
猬	蝟
献	獻
猳	豭
猶	犹
猻	狲
猾	獪
猿	猨 蝯
獁	犸
獃	呆
獄	狱 𡈭
獅	狮
獊	𪺷
獎	奖 奨 奬
獐	麞
獑	𰡔
獖	𰡞
獟	𬌮
獠	䝤
獢	𰡊
獣	獸
獧	狷
獨	独
獩	𤞃
獪	狯 猾
獫	猃 玁
獭	獺
獮	狝
獰	狞
獱	㺍
獲	获 𫉬
獵	猎 獵 𤢪
獷	犷
獸	兽
獹	𰡄
獺	獭
獻	献
獼	猕
獾	貛
玀	猡
玁	獫 𤞤
玂	𰡩
玄	伭 𤣥
玅	妙
玆	兹 茲 𢆶
率	卛 率
玈	𢐸
玉	𤣪
玑	璣
玕	𤥚
玖	九
玙	璵
玚	瑒
玛	瑪
玟	玫 珉 琝
玩	翫
玪	琳
玫	玟
玮	瑋
环	環
现	現
玱	瑲
玲	玲
玳	瑇
玺	璽
珉	䃉 玟 砇
珊	𤩀
珋	𤥗
珌	㻫
珍	珎 錱
珎	珍
珐	琺
珑	瓏
珒	𤦯
珞	珞
珡	琴
珤	寶 𤥖
珪	圭
班	𤦦 𤼬
珰	璫
珲	琿
珶	瑅
珷	碔
珼	𫞥
現	现 見
琄	鞙
琅	瑯 𤦴 𤨜
理	理
琉	瑠 璢 琉
琎	璡
琏	璉
琐	瑣
琖	𬍙
琝	玟
琱	雕
琳	玪
琴	珡 𤫍 𨪖 𨫹 𩰔
琺	珐
琼	瓊
琿	珲 𤦳
瑁	㺺 𤣽
瑅	珶
瑇	玳
瑋	玮
瑒	玚
瑙	碯 𰡻
瑟	㻎 𡘼 𡚉 𩇰
瑠	琉 璢
瑣	琐
瑤	瑶
瑩	莹 瑩
瑪	玛
瑬	𤦰
瑯	琅
瑲	玱
瑶	瑤
瑷	璦
瑸	璸
瑻	𪻲
瑽	璁 𪻐
瑿	毉
璁	瑽 𤥼 𤦏 𤧚 𮴨
璃	瓈
璇	璿
璉	琏
璊	㻊 𫞩
璍	𮴔
璎	瓔
璕	𬍤
璗	𬍡
璘	璘
璛	𰢄
璝	𪻺
璡	琎
璢	琉 瑠
璣	玑
璦	瑷
璨	㻮
璩	𤩁
璫	珰
璯	㻅
環	环 𤨔
璲	隧
璵	玙
璸	瑸
璹	𠩱 𰡽
璼	𫞨
璽	壐 玺
璾	𫞦
璿	䥧 璇 𤩅 𤩋 𤩡
瓄	𪻨
瓅	𬍛
瓈	璃
瓉	瓚
瓊	琼
瓏	珑
瓐	𰡵
瓒	瓚
瓓	𬎑
瓔	璎
瓕	𤦀
瓗	㼇
瓚	瓉 瓒
瓛	𤩽
瓟	匏
瓢	㼼 𤬣
瓮	甕 罋
瓯	甌
瓶	甁 缾
瓷	甆 磁
甁	瓶
甃	㼙
甆	瓷
甊	𰢦
甌	瓯
甎	磚
甒	𰢢
甕	瓮 罋
甖	罃 罌 𰢤
甗	𮴼
甘	𠙸 𠙿
甚	什 𠯕 𥱅
甛	餂
甜	甛
甞	嘗
生	𤯓
產	产
産	产 產
甤	蕤
甦	穌 苏 𤯳
用	𠛁 𤰆
甩	摔
甪	角
甬	埇
甯	宁 寗
甲	𠇚 𡴌
申	𠭙 𤰶
电	電
男	侽
甹	𣓐
町	圢
画	畫
甽	畎
甾	菑
甿	氓
畀	畁
畁	畀
畂	㙀
畄	留 畱
畅	暢
畆	畝
畊	耕
界	畍
畍	界
畎	甽
畏	𤰣 𤰲
畒	畝
畗	福 答
留	畄 畱
畛	𤱥
畜	嘼 𠬀
畝	亩 畆 畮 𤱈 𤱑
畢	毕
畣	答
略	畧
畧	略
番	蹯 𥸨 𥻫
畫	划 画 畵 𤱪 𤲯 𨽶
畬	畭 𤰩
畭	畬
畮	畝
異	异 異 𢄖
畱	畄 留
畲	畬
畳	疊
畴	疇
畵	画 畫
當	儅 当 𤱭
畷	𤲹
畺	將 疆
畼	𪽈
畽	疃
疃	畽
疆	將 畺
疇	畴 𠾉 𢑔
疉	疊
疊	叠 曡
疋	匹 足
疍	蛋
疎	疏
疏	疎
疑	𦬦
疖	癤
疗	療
疛	𤶡
疟	瘧
疠	癘
疡	瘍
疣	肬
疥	㿍
疩	瘁
疬	癧
疭	瘲
疮	瘡
疯	瘋
疱	皰
疴	痾
疸	癉
疹	胗 𤵜 𤺋
疾	𠥻 𤕼 𤖏 𤶅 𥏂
痄	𤶙
症	癥
痈	癰
痉	痙
痐	蚘
痒	癢
痖	瘂
痙	痉
痠	酸
痢	痢
痨	癆
痩	瘦
痪	瘓
痫	癇
痮	瘬 脹 𪽪
痲	痳
痳	痲
痴	癡
痹	痺
痺	痹
痼	㽽
痾	疴
瘁	疩
瘂	啞 痖
瘅	癉
瘆	瘮
瘉	愈 癒
瘋	疯
瘍	疡
瘑	𬏮
瘒	𬏫
瘓	痪
瘖	陰
瘗	瘞
瘘	瘺 瘻
瘞	瘗 𨻏
瘠	㾊
瘡	創 疮
瘤	癅
瘦	痩
瘧	弄 疟
瘨	癲
瘪	癟
瘫	癱
瘬	痮
瘭	𤼄
瘮	瘆 𤺑
瘱	𪽷
瘲	疭
瘶	嗽
瘺	瘘 瘻 𤵿
瘻	瘘 瘺
瘽	勤
瘾	癮
瘿	癭
療	疗
癅	瘤 𥏵
癆	痨
癇	痫
癈	𬏦
癉	疸 瘅
癊	𤷜
癎	𰣯
癐	𤶊
癒	愈 瘉
癘	疠
癛	癝
癞	癩
癟	瘪
癠	𤸾 𰣬
癡	痴 𠈴 𤶢
癢	痒
癣	癬
癤	疖
癥	症
癧	疬
癨	霍
癩	癞 癩
癪	𰣼
癫	癲
癬	癣
癭	瘿
癮	瘾
癯	臞
癰	痈
癱	瘫
癲	瘨 癫
癴	𰣽
癸	𤼩
癹	𤼧
発	發
登	豋 𤼪 𤼷
發	发 発
白	𤼽 𦣺
百	佰 𦣻
皁	皂
皂	皁
皃	貌 貎
的	旳
皇	𤽙 𤽚 𤽧 𦤍 𦤐
皈	歸
皋	皐 睾 臯
皌	𤽜
皍	卽
皎	㿟 皦
皐	皋
皑	皚
皓	皝 顥
皚	皑
皜	暠
皝	皓 顥
皞	皡 皥
皟	𤾀
皡	皞 皥
皥	皞 皡
皦	㿟 皎
皨	星
皪	𰤕
皭	㬭
皮	𠰎 𥬖
皰	疱
皱	皺
皲	皸
皶	皻
皷	鼓 鼔
皸	皲 𤿟
皺	皱 縐
皻	皶
皼	鼓
皾	𰤬
盃	杯
盅	沖
盇	盍
益	益 𠍳
盌	椀 碗
盍	盇
盏	盞
盐	鹽
监	監
盖	葢 蓋
盗	盜
盘	盤
盙	簠
盜	盗 𠉭 𠪁 𤋆 𨹇
盞	盏 醆
盟	𢄾
盡	尽 𥁞
監	监 譼 𧨭 𧩾
盤	柈 盘 鎜
盧	卢
盨	𪾔
盩	盭
盪	荡 蕩 蘯 逿 𨌩
盭	戾 盩
目	𡇡 𥃦 𥆤
盲	𥇋
直	𣓟 𣖴
省	䁞 省 𡮀
眂	眡 𥄆
眄	䀎
眇	緲
眈	躭
眉	𥅮
県	縣
眍	瞘
眎	視
眒	𥆓 𥋀
眘	愼
眙	瞪
眝	𪾣
眞	真 𡙊
真	眞
眠	緡 𥺠
眡	眂 視
眣	𥄺 𥉈
眥	眦
眦	眥
眬	矓
眱	𥄿 𥅣
眵	𥄏
眼	𥃩
眾	众 衆 𠂝 𠱧 𥅫
着	著
睁	睜
睍	𪾢
睏	困
睐	睞
睑	瞼
睔	𬑆
睜	睁
睞	睐
睟	𥄌
睦	𡻲
睪	𠬤 𥇝
睫	䀹
睴	𬑕
睹	覩
睾	皋 睪
睿	叡
瞅	矁 𬑡
瞆	瞶
瞍	𥈟
瞒	瞞
瞓	𰥛
瞘	眍
瞛	𰥒
瞜	䁖
瞞	瞒
瞠	瞪
瞡	𰥪
瞢	㜴 𥌋
瞤	𥆧
瞥	苤
瞩	矚
瞪	眙 瞠
瞬	䀢
瞭	了
瞯	瞷 𥊺 𰥨
瞰	矙
瞱	𬑓
瞶	瞆
瞷	瞯 𬑗
瞹	曖
瞼	睑
瞿	䀠
矁	瞅 𬑡
矇	朦 蒙
矈	矏
矉	𪾸
矊	𬑧
矋	矖
矏	矈
矑	𪾦
矓	朧 眬
矕	𰥠
矖	矋 𰥢
矘	𰥹
矙	瞰
矚	瞩
矛	鉾 𢦧 𥍥 𨥨
矜	㥤
矠	𥍡
矢	笶 𠂕 𠓡
矣	𠤘
知	𢇻 𥎿
矧	訠
矩	榘
矫	矯
矮	躷
矯	矫
矰	蹭 𢨉
矲	𰦜
石	𥐘
矵	砌
矶	磯
矾	礬
矿	礦
砀	碭
码	碼
砂	沙
砅	濿
砇	珉
砌	矵 纖
砎	𥔅
砒	磇
研	揅 硎 硏
砕	碎
砖	磚
砗	硨
砚	硯
砜	碸
砞	𥑘
砠	岨
砣	鉈 𥓿
砥	䂡 厎
砦	寨 𡎵 𥓽
砧	碪
砮	𠩨 𠪓
砰	𨺀
砲	炮 礮
破	𡲠
砺	礪
砻	礱
砾	礫
砿	礦
础	礎
硁	硜
硃	朱
硎	研
硏	研
硕	碩
硖	硤
硗	磽
硙	磑
硚	礄
硜	䃘 硁 磬 踁
硤	唊 硖
硨	砗
硫	硫
硬	峺 應
硭	𥐞
确	確
硯	砚
硵	磠
硷	礆 鹼
碁	棊 棋
碌	碌
碍	㝵 礙
碎	砕
碑	𥓓
碔	珷
碕	㟢 埼 崎 嵜 陭 﨑 𥔎
碗	椀 盌
碙	𥐻
碛	磧
碜	磣
碢	𰦿
碥	扁
碨	𥔃
碩	硕
碪	砧
碭	砀
碯	瑙 𮵑
碰	掽
碱	鹻 鹼
碸	砜
確	确
碼	码
碽	䂵
碾	𥑊
磁	瓷
磆	滑
磇	砒
磊	磥 磊 𥗬
磌	𧰊
磏	廉
磑	硙
磒	隕 𬒍
磚	塼 甎 砖
磛	嶃
磠	硵
磡	墈
磣	碜 𥕺
磥	磊
磧	碛
磪	崔
磬	硜 𡔝 𥓕
磯	矶
磱	𮀤
磴	嶝
磵	澗 𰧃
磶	𥖽
磺	卝
磻	磻
磽	墝 硗 𤴀
磾	䃅
礄	硚
礆	硷 險
礋	𰦰
礎	础
礏	𬒆
礐	𬒈
礒	𥐟
礙	㝵 碍
礚	𥕤
礛	𰧔
礝	𥕷
礟	礮
礡	礴
礥	𰧇
礦	矿 鑛
礩	𰧉
礪	砺 礪
礫	砾
礬	矾
礮	炮 砲 礟 𥔰 𪿫
礰	𰦦
礱	砻 𤮨
礲	𰦭
礴	礡
礶	罐
礹	𰦾
示	礻 𥘅
礻	示
礼	禮 礼
社	䄕 𥙭 𥙲
礿	禴
祀	𥛴
祃	禡
祇	只
祎	禕
祐	佑 𨳾
祕	秘
祖	𥘲
祗	只 祬
祘	算
祙	𥘯
祝	𥘱
神	神 𥛠
祡	𥚨
祢	你 妳 您 禰 袮
祥	祥
祧	𥜔
祬	祗
祯	禎
祷	禱
祸	禍
祺	𥘕
祼	𥚌
祿	禄 祿
禀	稟
禂	禱
禄	祿
禅	禪
禋	𠖦 𥛡
禍	旤 祸 𣨷 𥙯 𥚍
禎	祯
福	畗 福
禓	𰧰
禕	祎
禜	𰱈
禡	祃 𢒴
禥	祺
禦	御
禪	禅
禬	𰧻
禮	礼 禮 礼 𠃞 𤔑
禯	𰧾
禰	祢
禱	祷 禂 𥛇 𥛈
禲	厲
禴	礿
禵	𰨖
禹	𢁰 𥜼
离	離 𡴥
禽	𢄕
禿	秃
私	俬 厶
秃	禿
秄	耔
秆	稈
秇	埶 蓺 藝
秈	籼
秉	拼
秊	秊
秋	䆋 秌 鞦 龝 𥤛 𪔁 𪚼
秌	秋
种	種
秏	耗
秐	耘
秔	稉 粳
秕	粃
秗	飫
秘	祕
秤	稱
秦	𣜈
秩	豑
秫	𥤀
积	積
称	稱
秸	稭
移	迻 𥞀
秽	穢
秾	穠
稀	希
稃	𥞂
稅	税
稆	穭
稈	秆
稉	秔 粳
稊	䄺
税	稅
稏	䅉
稕	𥤁
稘	朞
稚	䕌 稺 穉
稜	棱 楞 稜
稟	廪 禀
稣	穌
稦	𮵠
稬	穤 糯
稭	秸
種	种 𥡰 𥢖
稱	偁 秤 称 穪
稲	稻
稳	穩
稷	𥞷
稺	稚
稻	稲
稽	乩 𥡴 𩠜
稾	稿
稿	槀 稾
穀	糓 谷
穂	穗
穅	糠 𥹺
穆	𢾓 𢿉 𢿬 𥟙 𥟟 𥠇
穇	䅟
穉	稚
穌	甦 稣
積	积
穎	署 頴 颖
穏	穩
穐	秋
穑	穡
穖	𬓠
穗	穂 𦼯
穞	穭
穠	秾
穡	穑
穢	秽 𢧹
穣	穰
穤	稬 糯
穧	𰨦
穨	𬓼
穩	㒚 文 稳
穪	偁 稱
穫	檴 获
穬	𰨜
穭	稆 穞
穰	穣
穳	𥣪
穴	𥤢
究	𡫄
穷	窮
穹	𠫙
穻	宇
穽	阱
突	𡦾
窃	竊
窌	窖
窍	竅
窎	窵
窑	窯
窓	䆫 囪 牕 窗 窻
窕	阿
窖	窌
窗	䆫 牕 窓 窻 𡆧
窜	竄
窝	窩
窠	䆼
窥	窺
窦	竇
窩	窝
窪	洼
窭	窶
窮	穷 竆
窯	窑 窰
窰	窯
窱	𰩏
窴	塡
窵	窎
窶	寠 窭
窺	窥
窻	牕 窓 窗
竀	𰩓
竃	灶
竄	窜 𥨒
竅	窍
竆	窮
竇	窦 𥥷
竈	灶 竃
竉	䆔 𥥅 𰩅
竊	窃 𢿝 𥨱
立	立
竒	奇
竖	竪 豎
竚	佇 𥩟
竜	龍
竝	並 并 幷
竞	競
竢	俟
竦	𢖗 𢷜
竩	𧧼
竪	竖 豎
端	耑
竱	𫁟
競	竞 竸 誩
竸	競
竻	筋 簕 𥵚
竾	篪
竿	𣔼
笃	篤
笄	𠚙
笆	巴
笋	筍
笑	㗛 咲 𠇄
笓	篦
笔	筆
笕	筧
笛	篴
笞	𢲹
笠	笠
笨	㤒
笴	𣘠
笺	箋
笻	筇
笼	籠
笾	籩
筆	笔
筇	笻
等	寸 朩
筋	䈥 竻 觔
筍	笋 𥰴 𥳦
筏	栰
筐	筺
筑	築
答	畗 畣 荅
策	筞
筚	篳
筛	篩
筜	簹
筝	箏
筞	策
筦	管
筧	笕
筭	算
筯	箸
筱	篠
筴	䇲
筹	籌
筼	篔
签	簽 籤
筿	篠
简	簡
箂	𮵱
箇	个 個
箋	牋 笺
箍	箛
箎	篪
箏	筝
箒	帚
箓	籙
箔	泡
箕	䇧 𠀠 𠔋 𠔛 𠴩 𠷛 𡿸 𥫚 𥫶 𦋊
箖	籃
算	祘 筭
箘	箟
箚	剳
箛	箍
箝	钳
箟	箘
箠	捶
管	筦
箦	簀
箧	篋
箨	籜
箩	籮
箪	簞
箫	簫
箬	篛
箭	𥳭
箳	簈
箴	針 鍼
箸	筯 𣥧
箹	𰩺
箾	簫
節	卩 罇 节
範	范
築	筑
篋	匧 箧
篑	簣
篓	簍
篔	筼
篘	𥬠
篛	箬
篠	筱 筿
篡	簒
篢	槓 𬕂
篤	笃
篦	笓
篩	筛 簁 簛
篪	竾 箎
篭	籠
篮	籃
篯	籛
篱	籬
篲	彗 𥱵
篳	筚
篴	笛
篵	𥬈
篸	𥮾
篺	棑
篾	𥯣
篿	𰩮
簀	箦
簁	篩 簛
簂	𫂆
簈	箳
簋	㔲 朹 𣪕 𣪘
簌	雝
簍	篓
簑	蓑
簒	篡
簔	簑
簕	竻
簖	籪
簘	簫
簛	篩 簁
簜	𰩹
簞	箪
簠	盙 𠤱 𦻌
簡	简 耕
簢	𫂃
簣	篑 籄 蕢
簥	𰩸
簨	栒
簪	兂 𥯓
簫	燒 箫 箾 𪛕
簬	簵
簵	簬 𰪏
簷	檐
簹	筜
簻	檛 𰩻
簽	签
簾	帘 簾 𢅏 𢅖
籁	籟
籃	箖 篮 𢉧
籄	簣 蕢
籅	𥫣
籋	𥬞
籌	筹
籐	籘 藤
籑	䉵 饌 𥶉
籔	䉤 藪
籖	籤
籘	籐
籙	箓
籚	𰩲
籛	篯
籜	箨
籟	籁
籠	笼 籠
籣	𮆏
籤	签 籖
籥	龠
籦	𰪊
籩	笾
籪	簖
籫	𬖃
籬	篱
籭	𬕄
籮	箩
籯	𰪣
籲	吁 龥
籴	糴
籵	蹯
类	類
籼	秈
粃	秕
粋	粹
粒	粒 𩚷
粗	觕 麄 麤
粘	黏
粛	肅
粜	糶
粝	糲
粟	䅇 𠧼 𥸫 𥹟 𥾄
粤	粵
粥	鬻
粦	㷠 燐
粧	妝
粪	糞
粫	糯
粮	糧
粯	𬖑
粲	𥹏
粳	秔 稉
粵	粤
粹	粋
粺	𥺛
粻	𰪭
粽	糉 糭
精	精
糁	糝
糂	糝
糆	麫
糇	餱
糉	粽 糭
糊	胡
糍	餈
糒	𥺢 𪍞
糓	穀
糕	餻
糖	餹 糖
糙	㿷
糝	糁 糂
糞	粪 𥼇 𥼈
糟	醩
糠	穅
糡	糨
糤	饊 馓
糥	糯
糧	粮
糨	糡
糭	糉
糮	𬖮
糯	稬 穤 粫 糥 𥻟
糰	䊜 团 𰪶
糲	粝
糴	籴
糶	條 粜
糷	𰫖
糸	糹 絲 𢆯
糹	糸 纟
糺	糾 𫄙
系	係 繫
糽	𰫼
糾	糺 纠
紀	纪
紁	𮵿
紂	纣 𩋰
紃	𬘓
約	约
紅	红
紆	纡
紇	纥
紈	纨
紉	纫
紋	纹
紌	𬘕
納	纳
紐	纽 紐
紑	𰫽
紒	𰬀
紓	纾
純	㝄 纯 𠄤
紕	纰
紖	纼
紗	纱
紘	纮
紙	帋 纸 𦀦
級	级 𨸚
紛	纷
紜	纭
紝	纴
紞	𬘘
紟	衿 𫄛
紡	纺
索	索
紣	綷
紥	紮
紧	緊
紨	𰬅
紩	鉄 𮉢
紬	䌧 䌷 綢
紭	𰬋
紮	扎 紥
累	纍
細	细
紱	绂
紲	緤 绁
紳	绅
紵	纻 𦂂
紶	𬘛
紸	𰬇
紹	佋 綤 绍
紺	绀
紼	绋
紽	𰬉
紾	𬘝
紿	绐
絀	绌
絁	𫄟
終	夊 终 𠔾 𡦿 𢍐 𣈩 𣊂 𣧩 𤽘 𤽬
絃	弦 𰬈
組	组
絅	䌹 褧
絆	绊
絇	𰬆
絋	纊
経	經
絍	𫟃
絎	绗
絏	紲
結	揭 结
絑	𰬏
絓	𮉤
絕	絶 绝 𠤉 𢇍
絖	纊 𬘢
絘	𰬒
絙	絚 𫄠
絚	絙 緪 縆 𰬌
絛	縚 绦
絝	綯 绔 袴 褲
絞	绞
絟	𬘥
絠	𬘠
絡	络
絢	绚
絣	背 𰬔
絤	𬘟
絥	鞴 𫄢
給	给
絧	𫄡
絨	绒
絪	氤 𬘡
絯	𰬓
絰	绖
統	綂 统
絲	丝 纟
絳	绛
絵	繪
絶	絕 绝
絷	縶
絸	繭 𬘖
絹	绢
絺	𫄨
絻	𰬜
絼	𰬛
絽	𬘤
絾	𰬖
絿	𰬗
綀	𦈌
綁	绑
綂	統
綃	绡
綄	𬘫
綅	𰬞
綆	䋁 绠
綇	𦈋
綈	绨
綉	繡 绣
綊	𰬍
綋	𫟄
綌	绤
綍	𰬘
綎	𬘩
綏	夊 绥
綐	䌼
綑	捆
經	坕 経 经 𤔕 𦀇
綕	織 𬘨
綖	𫄧
綘	𮶂
継	繼
続	續
綜	综
綝	𬘭
綞	缍
綟	𫄫
綠	氯 绿 綠
綡	𫟅
綢	紬 绸
綣	绻
綤	紹
綦	𥾟
綧	𬘯
綪	𬘬
綫	線 线
綬	绶
維	维
綯	絝 绹
綰	绾
綱	㭃 䌉 纲 𣓡
網	网
綳	繃 绷
綴	缀
綵	䌽 彩
綷	紣 𮉬
綸	纶
綹	绺
綺	绮
綻	䘺 绽
綼	𰬤
綽	繛 绰
綾	绫
綿	緜 绵
緀	𰬢
緁	𰬡
緂	𰬧
緄	绲
緅	𮉪
緆	𰬣
緇	缁
緉	𮉧
緊	紧 𦂳
緋	绯
緌	𮉫
緍	𦈏
緎	𩎹 𰬟
総	總 𰬥
緑	綠 绿
緒	緖 绪
緓	绬
緔	绱
緖	緒
緗	缃
緘	缄
緙	缂
線	綫 线 缐
緛	𬘰
緜	綿
緝	缉
緞	缎
緟	𫟆
締	缔
緡	眠 缗
緢	𰬬
緣	縁 缘
緤	紲 𫄬
緥	褓
緦	缌 𢆿 𦃞
緧	𬘶
編	编
緩	缓 𦅻
緪	絚 縆 𬘵
緫	總 𰬰
緬	缅
緮	𫄭
緯	纬
緰	𦈕
緱	缑
緲	眇 缈
練	练
緵	𰬯
緶	缏
緷	𦈉
緸	𦈑
緹	缇
緺	𮉨
緻	致 𰬫
緼	縕 缊
縁	緣
縂	總
縄	繩
縆	絚 緪
縈	萦
縉	缙
縊	缢
縋	缒
縌	𰬳
縍	𫄰
縎	𦈔
縐	皺 绉
縑	缣
縒	𬘷
縓	𰬲
縕	緼 缊 韞
縖	𬘻
縗	缞
縚	絛 𬘺
縛	缚
縜	𰬚
縝	缜
縞	缟
縟	溽 缛
縡	𰬴
縣	县
縦	縱
縧	绦 𮶃
縩	𮉯
縪	𰬎
縫	缝
縬	𦈚
縭	缡 褵
縮	缩
縯	䌥 𬙂
縰	𫄳
縱	纵 𥾞
縲	缧
縳	䌸
縴	纤 𰬮
縵	缦 𦆅
縶	絷
縷	缕
縸	𫄲
縹	缥
縺	𦈐
縼	𰬵
總	总 搃 摠 総 緫 縂 𠂳 𢰾
績	绩
縿	𰬪
繀	𮉮
繁	緐
繂	𫄴
繃	綳 绷
繅	繰 缫 𦃨
繆	缪
繈	繦 襁 鏹 𫄶
繊	纖
繋	繫
繍	繡
繎	𬙇
繏	𦈝
繐	𰬸
繑	𦃣 𰬐
繒	缯
繓	𦄎 𦈛
織	綕 织 𥿮 𦁋 𦁓
繕	缮
繖	傘 𰬷
繗	𬙈
繘	𦇹 𦈇 𰬻
繙	翻 𬙆
繚	缭
繛	綽
繜	𰬺
繞	绕 遶
繟	𦈎
繡	綉 繍 绣 𰬩
繢	繪 缋
繣	𰬠
繦	繈 襁
繨	𫄤
繩	䋲 縄 绳
繪	繢 绘 缋
繫	系 繋
繬	𫄱
繭	絸 茧
繮	缰 韁
繯	缳
繰	繅 缲
繲	挫 𰬽
繳	缴
繵	𬙉
繶	𫄷
繷	𫄣
繸	䍁
繹	绎
繻	𦈡
繼	继
繽	缤
繾	缱
繿	䍀 襤
纀	𰬿
纁	𫄸
纂	臇 𤎱
纃	𬘧
纆	𬙊
纇	颣
纈	缬
纉	纘
纊	絋 絖 纩
纋	𰭀
續	续 賡
纍	累
纎	纖
纏	缠
纑	𮉡
纒	纏
纓	缨
纔	才
纕	𬙋
纖	砌 纎 纤
纗	𫄹
纘	纉 缵
纚	𫄥
纜	䌫 缆
纟	糹
纠	糾
纡	紆
红	紅
纣	紂
纤	縴 纖
纥	紇
约	約
级	級
纨	紈
纩	纊
纪	紀
纫	紉
纬	緯
纭	紜
纮	紘
纯	純
纰	紕
纱	紗
纲	綱
纳	納
纴	紝
纵	縱
纶	綸
纷	紛
纸	紙
纹	紋
纺	紡
纻	紵
纼	紖
纽	紐
纾	紓
线	綫 線
绀	紺
绁	紲
绂	紱
练	練
组	組
绅	紳
细	細
织	織
终	終
绉	縐
绊	絆
绋	紼
绌	絀
绍	紹
绎	繹
经	經
绐	紿
绑	綁
绒	絨
结	結
绔	絝 褲
绕	繞
绖	絰
绗	絎
绘	繪
给	給
绚	絢
绛	絳
络	絡
绝	絕 絶
绞	絞
统	統
绠	綆
绡	綃
绢	絹
绣	綉 繡
绤	綌
